dataset,method,n_stacks,failure_count,absolute_peak_localization_error_mean,absolute_peak_localization_error_std,fwhm_mean,fwhm_std,curvature_at_peak_mean,curvature_at_peak_std,steep_slope_width_mean,steep_slope_width_std,steep_to_gradual_slope_ratio_mean,steep_to_gradual_slope_ratio_std,false_maxima_count_mean,false_maxima_count_std,noise_level_mean,noise_level_std,rrmse_under_additive_noise_mean,rrmse_under_additive_noise_std,range_around_global_maximum_mean,range_around_global_maximum_std,execution_time_per_slice_mean,execution_time_per_slice_std
BMA,conventional_clahe_unsharp,38,0,4.0,2.955814964652415,12.894736842105264,1.2729880655208239,0.13886672227181618,0.23212701832789362,5.657894736842105,4.479639998396686,2.0173878124008424,2.1380676457134435,0.631578947368421,0.5813347903782768,0.10028716716928793,0.04416950764089769,0.059775331719400984,0.18336375674332103,2.4210526315789473,1.4802485379394985,0.9216043123703038,0.012410853242705038
BMA,identity,38,0,4.157894736842105,2.690395351396223,12.921052631578947,1.264527765971996,0.16497494732999035,0.2891683468851148,5.421052631578948,4.771800823849741,2.2809065722699073,2.067036697902891,0.5526315789473685,0.5475961064917055,0.1029082221176207,0.04754635285229349,0.08818489155281081,0.14961382516241523,1.8157894736842106,0.9135028925110412,0.8922323316823298,0.028801433513867034
BMA,single::bilateral_filter,38,0,4.157894736842105,2.690395351396223,12.947368421052632,1.2554589938817433,0.16338496877078923,0.2863322149383566,5.421052631578948,4.771800823849741,2.2919743478417534,2.0736326333435255,0.5526315789473685,0.5475961064917055,0.10261827391629075,0.04797228367171216,0.07542102843379529,0.10565288739293695,1.8157894736842106,0.9135028925110412,0.9309593064887638,0.05467423763050141
BMA,single::clahe_enhancement,38,0,4.157894736842105,2.690395351396223,12.973684210526315,1.2457684608994342,0.15244223851362737,0.27710489285123685,5.421052631578948,4.771800823849741,2.1300996381801567,2.072533010985341,0.5526315789473685,0.5475961064917055,0.10378536208982715,0.04926452870250877,0.03977431620072808,0.15624043741773727,1.9736842105263157,1.0634314395356186,0.8432404157725901,0.016722229530995135
BMA,single::dog_filter,38,0,5.2894736842105265,1.7756821481934044,9.763157894736842,3.652210653738332,0.35545518458671377,0.3940275609278548,5.473684210526316,1.9430963096815506,1.129769332642903,1.462956015762515,2.0789473684210527,0.8700144870956074,0.14822157225443944,0.059307463679951544,0.005661845433315454,0.002570528479496095,1.7105263157894737,0.7221275123164339,0.8902511109041725,0.014549513699822554
BMA,single::fft_highpass_filter,38,0,5.657894736842105,2.6879488931297715,12.552631578947368,1.772559380952517,0.35397345258599555,0.29374327627675917,4.631578947368421,1.7684523806748889,1.1202401738497567,1.1474414744560064,2.236842105263158,0.8408708057194977,0.16556255510293516,0.09225872596391857,0.06300553845389162,0.04669330746496704,1.8421052631578947,1.112756553256104,1.1387011813420207,0.01944018587695036
BMA,single::gamma_correction,38,0,4.157894736842105,2.690395351396223,12.921052631578947,1.264527765971996,0.16497494732999035,0.2891683468851148,5.421052631578948,4.771800823849741,2.2809065722699073,2.067036697902891,0.5526315789473685,0.5475961064917055,0.1029082221176207,0.04754635285229349,0.08818489155281081,0.14961382516241523,1.8157894736842106,0.9135028925110412,0.943877598154167,0.06750214137345863
BMA,single::gaussian_blur,38,0,4.157894736842105,2.690395351396223,12.947368421052632,1.2554589938817433,0.16216918630790644,0.2858542615178827,5.421052631578948,4.771800823849741,2.2642337462761386,2.061526797594922,0.5526315789473685,0.5475961064917055,0.10284249414107617,0.048003690578522495,0.07381984313537286,0.12445786500734564,1.8157894736842106,0.9135028925110412,0.8878342958176877,0.014990744671735267
BMA,single::gradient_morph,38,0,4.315789473684211,2.7348170645824377,13.105263157894736,1.0708942078618846,0.12278207684377443,0.28117907591308444,5.131578947368421,4.69698140820575,1.838459851625617,1.9438902872019201,0.5789473684210527,0.5444252859362421,0.11512128611061159,0.0547810312714268,0.821490558851789,0.12593063607565277,3.5,2.381397201556042,0.9203983162781636,0.014882778155764706
BMA,single::histogram_equalization,38,0,3.763157894736842,2.640117725906972,12.973684210526315,1.202778408634362,0.11850757274595773,0.1994005478150397,5.368421052631579,4.670292747679793,2.125273112871054,2.0984017950212106,0.5,0.5,0.10028822038600603,0.04534215494766227,0.010901860046606378,0.009737388990844024,1.9736842105263157,1.366648649747241,0.8451588699642884,0.01609181710720872
